ID_TEMPERATURA,FECHA,AÑO,TEMPERATURA_MEDIA,VV_MAXIMA,VV_MEDIA,ID_INCENDIO,CLAVE,ESTADO,MUNICIPIO,COORDENADA_1,COORDENADA_2,COORDENADAS_REFERENCIA,COORDENADAS,CAUSA,TIPO_VEGETACION,TIPO_INCENDIO,FECHA_INICIO,FECHA_EXT,HECTAREAS,TIPO_IMPACTO,DETECCION,LLEGADA,DURACION,COSTOS,FECHA,HORA,CO,MAX(CO),MIN(CO),AVG(CO),NO2,MAX(NO2),MIN(NO2),AVG(NO2),O3,MAX(O3),MIN(O3),AVG(O3),PM10,MAX(PM10),MIN(PM10),AVG(PM10),SO2,MAX(SO2),MIN(SO2),AVG(SO2),BANDERA_INCENDIO
5825,01/01/2012,2012,18,14.8,3.9,,,,,,,,,,,,,,,,,,,,01/01/2012,00:00:00,0.52,3.04,0.21,1.118333323,0.021,0.052,0.008,0.022333333,0.016,0.079,0.005,0.030250001,14.3,54.5,12.4,27.30833332,0.004,0.005,0,0.0015,0
5826,02/01/2012,2012,18,35.2,14.8,,,,,,,,,,,,,,,,,,,,02/01/2012,00:00:00,0.24,0.71,0.23,0.3825,0.01,0.026,0.004,0.010125,0.04,0.044,0.012,0.033208333,18.9,28.7,7.3,13.5583334,0,0,0,0,0
5827,03/01/2012,2012,14,24.1,7.6,,,,,,,,,,,,,,,,,,,,03/01/2012,00:00:00,0.22,2.66,0.22,0.699166672,0.005,0.045,0.003,0.016375,0.032,0.05,0.004,0.0285,13.3,50.6,3.2,14.05416668,0,0.005,0,0.0005,0
5828,04/01/2012,2012,13,29.4,3.7,,,,,,,,,,,,,,,,,,,,04/01/2012,00:00:00,1.58,1.81,0.1,0.637500003,0.036,0.053,0.007,0.023416666,0.005,0.065,0.004,0.026291667,39.6,43.2,4.2,17.61249999,0.002,0.005,0,0.001208333,0
5829,05/01/2012,2012,12,11.1,2.4,,,,,,,,,,,,,,,,,,,,05/01/2012,00:00:00,0.49,3.72,0.27,0.992083322,0.036,0.051,0.007,0.02875,0.007,0.089,0.004,0.029833333,13.4,57.7,10.3,22.09166638,0,0.014,0,0.002666667,0
5830,06/01/2012,2012,14,25.9,3.3,,,,,,,,,,,,,,,,,,,,06/01/2012,00:00:00,0.51,1.75,0.13,0.594166671,0.026,0.064,0.007,0.029041667,0.025,0.064,0.005,0.025333334,11.7,36,6.7,16.14166667,0.001,0.005,0,0.001,0
5831,07/01/2012,2012,12,9.4,1.9,,,,,,,,,,,,,,,,,,,,07/01/2012,00:00:00,1.39,1.84,0.4,0.880000004,0.04,0.045,0.015,0.031166667,0.005,0.093,0.004,0.033083333,26.9,32.8,12.5,21.44583329,0.002,0.005,0.001,0.001791667,0
5832,08/01/2012,2012,14,25.9,5,,,,,,,,,,,,,,,,,,,,08/01/2012,00:00:00,0.61,2.14,0.25,0.664583339,0.034,0.041,0.008,0.021208334,0.019,0.074,0.004,0.033,16.7,37.6,5.6,16.39166645,0.002,0.004,0,0.001666667,0
5833,09/01/2012,2012,13,14.8,4.3,,,,,,,,,,,,,,,,,,,,09/01/2012,00:00:00,0.23,1.63,0.23,0.642499996,0.009,0.029,0.007,0.019791667,0.04,0.043,0.004,0.022083333,15.1,25.4,8,13.58750002,0.001,0.004,0,0.001375,0
5834,10/01/2012,2012,13,14.8,2.4,,,,,,,,,,,,,,,,,,,,10/01/2012,00:00:00,0.74,3.23,0.22,0.978749999,0.026,0.049,0.008,0.02525,0.008,0.039,0.004,0.014666667,16.1,49,2,17.52083329,0.001,0.011,0,0.002291667,0
5835,11/01/2012,2012,13,25.9,3.7,,,,,,,,,,,,,,,,,,,,11/01/2012,00:00:00,1.07,2.54,0.15,0.856250009,0.029,0.047,0.006,0.026458333,0.004,0.066,0.004,0.021375,15.2,34.8,0,17.37499992,0.001,0.006,0,0.002333333,0
5836,12/01/2012,2012,14,25.9,3.7,,,,,,,,,,,,,,,,,,,,12/01/2012,00:00:00,0.33,2.49,0.2,0.755416672,0.024,0.073,0.008,0.027291667,0.017,0.079,0.004,0.028,11.8,33.1,0,16.82083333,0,0.007,0,0.002541667,0
5837,13/01/2012,2012,17,29.4,5.2,,,,,,,,,,,,,,,,,,,,13/01/2012,00:00:00,0.33,2.43,0.32,0.89791668,0.02,0.067,0.006,0.028125,0.022,0.073,0.004,0.024125,10.1,46.6,6,20.75833337,0.001,0.01,0,0.002125,0
5838,14/01/2012,2012,17,14.8,4.3,,,,,,,,,,,,,,,,,,,,14/01/2012,00:00:00,0.5,1.89,0.3,0.822499993,0.017,0.043,0.014,0.027125,0.024,0.049,0.005,0.020625,10.4,37,7.8,19.23333323,0,0.005,0,0.001291667,0
5839,15/01/2012,2012,14,14.8,2,,,,,,,,,,,,,,,,,,,,15/01/2012,00:00:00,0.77,2.37,0.37,0.997083326,0.035,0.058,0.008,0.026958334,0.009,0.085,0.004,0.030166666,16.9,42.8,14.3,22.07916661,0.001,0.006,0.001,0.003083333,0
5840,16/01/2012,2012,16,7.6,2.4,,,,,,,,,,,,,,,,,,,,16/01/2012,00:00:00,0.52,2.43,0.25,0.944166675,0.023,0.057,0.01,0.029791667,0.035,0.072,0.005,0.028583333,16,38.4,5.8,18.4000001,0.001,0.008,0,0.001208333,0
5841,17/01/2012,2012,16,11.1,3,,,,,,,,,,,,,,,,,,,,17/01/2012,00:00:00,0.62,3.1,0,0.558333327,0.02,0.054,0.007,0.023208333,0.022,0.087,0.004,0.031458334,13.1,43.1,6.5,15.5624999,0.001,0.008,0,0.001791667,0
5842,18/01/2012,2012,16,22.2,3.7,,,,,,,,,,,,,,,,,,,,18/01/2012,00:00:00,0.1,2.98,0.1,0.73583333,0.015,0.049,0.009,0.027083333,0.025,0.093,0.004,0.035875,7,44.6,7,21.73333309,0,0.009,0,0.003,0
5843,19/01/2012,2012,17,14.8,2.8,,,,,,,,,,,,,,,,,,,,19/01/2012,00:00:00,0.19,3.61,0.19,0.955416652,0.014,0.118,0.011,0.034125,0.028,0.098,0.005,0.0275,7.1,75.8,7.1,24.78333364,0,0.018,0,0.003125,0
5844,20/01/2012,2012,17,27.8,6.9,598,1,JALISCO,ZAPOPAN,1033435,204258,1033435-204258,103 34 35  -  20 42 58,FOGATASDEPASEANTES,PASTIZALNATURAL,SUPERFICIAL,20/01/2012,20/01/2012,0,,,,,0,20/01/2012,00:00:00,0.34,2.32,0.1,0.790833327,0.022,0.046,0.006,0.02375,0.016,0.064,0.004,0.020750001,11,31.8,2.8,16.81249993,0.002,0.006,0,0.001708333,1
5845,21/01/2012,2012,16,16.5,3.7,599,1,JALISCO,ZAPOPAN,10328371,203797,10328371-203797,103 28 37.1  -  20 37 9.7,QUEMADEBASUREROS,PASTIZALNATURAL,SUPERFICIAL,21/01/2012,21/01/2012,0,,,,,0,21/01/2012,00:00:00,0.53,3.43,0.27,1.279166682,0.02,0.067,0.007,0.03,0.012,0.105,0.004,0.028416666,13.4,62.3,7.5,24,0.002,0.017,0,0.004,1
5846,22/01/2012,2012,18,13,5.7,600,1,JALISCO,ZAPOPAN,1032736,20390,1032736-20390,103 27 36  -  20 39 0,FUMADORES,MATORRALDECONIFERAS,SUPERFICIAL,22/01/2012,22/01/2012,0,,,,,0,22/01/2012,00:00:00,0.45,2.61,0.18,0.908749993,0.019,0.036,0.003,0.020166667,0.022,0.056,0.004,0.024791667,10.9,25,1.2,13.27500001,0.001,0.005,0,0.001791667,1
5847,23/01/2012,2012,17,9.4,2.6,,,,,,,,,,,,,,,,,,,,23/01/2012,00:00:00,0.64,2.8,0.23,0.765833334,0.029,0.053,0.009,0.024708334,0.011,0.091,0.005,0.031833333,15.8,50,7.4,18.99166677,0.002,0.013,0.001,0.003208333,0
5848,24/01/2012,2012,17,25.9,6.3,,,,,,,,,,,,,,,,,,,,24/01/2012,00:00:00,0.66,2.25,0.31,0.68958333,0.021,0.05,0.008,0.02125,0.023,0.052,0.005,0.024583333,23.1,38.1,6,19.90416666,0.003,0.009,0.001,0.002291667,0
5849,25/01/2012,2012,16,29.4,8,,,,,,,,,,,,,,,,,,,,25/01/2012,00:00:00,0.4,1.63,0.22,0.495,0.012,0.037,0.007,0.01675,0.029,0.053,0.005,0.026916666,14,38.9,9,16.4666667,0.001,0.005,0,0.001333333,0
5850,26/01/2012,2012,14,14.8,3.7,601,1,JALISCO,ZAPOPAN,1032736,20390,1032736-20390,103 27 36  -  20 39 0,FUMADORES,PASTIZALNATURAL,SUPERFICIAL,26/01/2012,26/01/2012,0,,,,,0,26/01/2012,00:00:00,0.5,2.24,0.34,0.798333332,0.025,0.068,0.015,0.029666667,0.012,0.108,0.005,0.036083334,13.4,36.8,12.7,23.16666647,0.001,0.005,0,0.001333333,1
5851,27/01/2012,2012,14,16.5,4.3,602,1,JALISCO,ZAPOPAN,10328202,2042293,10328202-2042293,103 28 20.2  -  20 42 29.3,FUMADORES,PASTIZALNATURAL,SUPERFICIAL,27/01/2012,27/01/2012,0,,,,,0,27/01/2012,00:00:00,1.14,1.46,0.29,0.735833337,0.053,0.053,0.007,0.027666667,0.005,0.075,0.005,0.027583333,25.3,39.6,11.8,20.60416639,0.002,0.003,0,0.001125,1
5852,28/01/2012,2012,15,14.8,3.1,,,,,,,,,,,,,,,,,,,,28/01/2012,00:00:00,0.33,1.61,0.24,0.607083331,0.009,0.056,0.008,0.02225,0.039,0.065,0.005,0.030708333,18.6,32.9,4.6,17.37083342,0,0.005,0,0.00125,0
5853,29/01/2012,2012,14,13,4.3,,,,,,,,,,,,,,,,,,,,29/01/2012,00:00:00,0.31,1.41,0.28,0.499166665,0.016,0.031,0.009,0.016666667,0.032,0.059,0.005,0.030666667,13,28.7,4.3,17.37083336,0,0.003,0,0.000791667,0
